image_path,pair_id,version,room_type,style_desc,style_primary,style_secondary,style_conf,style_evidence,prompt_fixed,prompt_fixed_style,split
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_orig.jpg,134b65d61e04d23396,orig,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_v0.jpg,134b65d61e04d23396,v0,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_v1.jpg,134b65d61e04d23396,v1,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_v2.jpg,134b65d61e04d23396,v2,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_v3.jpg,134b65d61e04d23396,v3,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__134b65d61e04d23396_v4.jpg,134b65d61e04d23396,v4,bathroom,"teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",Contemporary,Modern,high,"Teal walls, iridescent mosaic shower tile, dark grey subway tile, stone vessel sink, waterfall faucet, and black vanity.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, teal walls, iridescent mosaic tiling, dark espresso vanity, gray tile flooring, warm vanity lighting, contemporary eclectic",train
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_orig.jpg,189ae75ae2d90c5c33,orig,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_v0.jpg,189ae75ae2d90c5c33,v0,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_v1.jpg,189ae75ae2d90c5c33,v1,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_v2.jpg,189ae75ae2d90c5c33,v2,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
